"filename", "language", "C#", "comment", "blank", "total"
"d:\progs\unity\projects\KursachProj\Kursach\Assets\Scripts\Player\Movement.cs", "C#", 67, 0, 9, 76
"d:\progs\unity\projects\KursachProj\Kursach\Assets\Scripts\Traps\FallingPlatform.cs", "C#", 22, 0, 5, 27
"d:\progs\unity\projects\KursachProj\Kursach\Assets\Scripts\Traps\FallingTrap.cs", "C#", 19, 0, 3, 22
"d:\progs\unity\projects\KursachProj\Kursach\Assets\Scripts\Traps\Trampoline.cs", "C#", 13, 0, 2, 15
"Total", "-", 121, 0, 19, 140
